keys,en
NAME_COMMANDER,"Commander"
NAME_YELLOW,"Mini"
"NAME_TEAL","Max"
"NAME_LEADER","Leader"
"NAME_VIRUS","Virus"
"NAME_AV_RED","Lieutenant Scareye"
"NAME_SOLDIER","Soldier"
"NAME_UNKNOWN","???"
"NAME_GUARDIAN","Guardian"
DG_ZONE1_LV1_1,"COMMANDER!!!"
DG_ZONE1_LV1_2,"Commander, look at the screen!"
DG_ZONE1_LV1_3,"[speed mult = 2.0]WHAT!?![/speed]"
DG_ZONE1_LV1_4,"[speed mult=1.4]We're being attacked by viruses![/speed]"
DG_ZONE1_LV1_5,"[speed mult=1.4]Everybody, in position, now!![/speed]"
DG_ZONE1_LV1_6,"This is a distress call. If anyone out there is listening..."
DG_ZONE1_LV1_7,"Our computer is being invaded by viruses!"
DG_ZONE1_LV1_8,"We need any help you can send!"
DG_ZONE1_LV2_1,"Look lively, people! We have viruses to kill!"
DG_ZONE1_LV2_2,"Just a simple, minor invasion to stop."
DG_ZONE1_LV2_3,"If anything goes wrong, I'll eat my hat."
DG_ZONE1_LV2_4,"Let's move out!"
DG_ZONE1_LV2_5,"Wait for me!"
DG_ZONE1_LV8_1,"Come on! Move, move!!"
DG_ZONE1_LV9_1,"Take this gun, you'll need it."
DG_ZONE1_LV9_2,"Ok, listen up everyone!"
DG_ZONE1_LV9_3,"We're gonna give this breach all we've got!"
DG_ZONE1_LV9_4,"On my mark!"
DG_ZONE1_LV9_5,"3... 2..."
DG_ZONE1_LV10_1,"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
DG_ZONE2_LV1_1,"oof"
DG_ZONE2_LV1_2,"...Where am I?"
DG_ZONE2_LV1_3,"Hey! Up here!"
DG_ZONE2_LV1_4,"Boy am I glad someone else survived that..."
DG_ZONE2_LV1_5,"We have to get back to base and warn them about what's coming!"
DG_ZONE2_LV1_6,"But I can't get this barrier open."
DG_ZONE2_LV1_7,"Can you see any viruses down there?"
DG_ZONE2_LV1_8,"Yeah, one. But, uh..."
DG_ZONE2_LV1_9,"Its got a shield on its head! I can't jump on it!"
DG_ZONE2_LV1_10,"A shield on its head? Hmmm..."
DG_ZONE2_LV1_11,"That's pretty [speed mult=0.2]advanced[/speed] if you get my meaning..."
DG_ZONE2_LV1_12,"[speed mult=1.5]I know[/speed]! Do you have a gun?"
DG_ZONE2_LV1_13,"Yes!"
DG_ZONE2_LV1_14,"Then try using that! Press the SPACE BAR to fire it."
DG_ZONE2_LV1_15,"That did it!"
DG_ZONE2_LV1_16,"Come on, follow me!"
DG_ZONE2_LV1_17,"Uhhh... I can't get up there...!"
DG_ZONE2_LV1_18,"Oh, right."
DG_ZONE2_LV1_19,"Well, just try to keep up! I'll see if I can link up with you further ahead!"
DG_ZONE2_LV9_1,"Oh, there you are."
DG_ZONE2_LV9_2,"I've gotta be honest..."
DG_ZONE2_LV9_3,"I actually have no idea where we're going."
DG_ZONE2_LV9_4,"Me neither."
DG_ZONE2_LV9_5,"This place is huge."
DG_ZONE2_LV9_6,"Here."
DG_ZONE2_LV9_7,"I think we should conserve our energy."
DG_ZONE2_LV9_8,"We don't know how long we'll be down here after all."
DG_ZONE2_LV9_9,"If we make it back to base at all."
DG_ZONE2_LV9_10,"Hmmm..."
DG_ZONE2_LV9_11,"It might be a good idea to split up."
DG_ZONE2_LV9_12,"After all, we can cover more ground that way."
DG_ZONE2_LV9_13,"And only one of us needs to reach base to warn the commander about..."
DG_ZONE2_LV9_14,"...whatever that thing was..."
DG_ZONE2_LV9_15,"What WAS that anyway?"
DG_ZONE2_LV9_16,"I don't know, but it wasn't like any virus I've ever seen."
DG_ZONE2_LV9_17,"These viruses seem to be getting more and more dangerous."
DG_ZONE2_LV9_18,"All the more reason to warn the commander about what's coming."
